input_file,nG,nH,k,density,seed,algorithm,time_seconds,extension_cost,status
g2_h3_k1_ddense_s0.txt,2,3,1,dense,0,exact,0.003860,0,success
g2_h3_k1_ddense_s0.txt,2,3,1,dense,0,approx,0.002502,0,success
g2_h3_k1_ddense_s1.txt,2,3,1,dense,1,exact,0.002444,4,success
g2_h3_k1_ddense_s1.txt,2,3,1,dense,1,approx,0.002360,6,success
g2_h3_k1_ddense_s2.txt,2,3,1,dense,2,exact,0.002401,0,success
g2_h3_k1_ddense_s2.txt,2,3,1,dense,2,approx,0.002555,1,success
g2_h3_k1_dmedium_s0.txt,2,3,1,medium,0,exact,0.002785,0,success
g2_h3_k1_dmedium_s0.txt,2,3,1,medium,0,approx,0.002438,0,success
g2_h3_k1_dmedium_s1.txt,2,3,1,medium,1,exact,0.002379,0,success
g2_h3_k1_dmedium_s1.txt,2,3,1,medium,1,approx,0.002483,0,success
g2_h3_k1_dmedium_s2.txt,2,3,1,medium,2,exact,0.002434,3,success
g2_h3_k1_dmedium_s2.txt,2,3,1,medium,2,approx,0.002312,5,success
g2_h3_k1_dsparse_s0.txt,2,3,1,sparse,0,exact,0.002698,0,success
g2_h3_k1_dsparse_s0.txt,2,3,1,sparse,0,approx,0.002500,0,success
g2_h3_k1_dsparse_s1.txt,2,3,1,sparse,1,exact,0.002405,0,success
g2_h3_k1_dsparse_s1.txt,2,3,1,sparse,1,approx,0.002383,0,success
g2_h3_k1_dsparse_s2.txt,2,3,1,sparse,2,exact,0.002313,2,success
g2_h3_k1_dsparse_s2.txt,2,3,1,sparse,2,approx,0.002393,2,success
g2_h4_k1_ddense_s0.txt,2,4,1,dense,0,exact,0.003003,0,success
g2_h4_k1_ddense_s0.txt,2,4,1,dense,0,approx,0.002424,1,success
g2_h4_k1_ddense_s1.txt,2,4,1,dense,1,exact,0.002500,0,success
g2_h4_k1_ddense_s1.txt,2,4,1,dense,1,approx,0.002361,0,success
g2_h4_k1_ddense_s2.txt,2,4,1,dense,2,exact,0.002443,0,success
g2_h4_k1_ddense_s2.txt,2,4,1,dense,2,approx,0.002225,0,success
g2_h4_k1_dmedium_s0.txt,2,4,1,medium,0,exact,0.002825,0,success
g2_h4_k1_dmedium_s0.txt,2,4,1,medium,0,approx,0.002340,0,success
g2_h4_k1_dmedium_s1.txt,2,4,1,medium,1,exact,0.002484,0,success
g2_h4_k1_dmedium_s1.txt,2,4,1,medium,1,approx,0.002319,0,success
g2_h4_k1_dmedium_s2.txt,2,4,1,medium,2,exact,0.002320,0,success
g2_h4_k1_dmedium_s2.txt,2,4,1,medium,2,approx,0.002305,1,success
g2_h4_k1_dsparse_s0.txt,2,4,1,sparse,0,exact,0.002323,1,success
g2_h4_k1_dsparse_s0.txt,2,4,1,sparse,0,approx,0.002595,1,success
g2_h4_k1_dsparse_s1.txt,2,4,1,sparse,1,exact,0.002458,0,success
g2_h4_k1_dsparse_s1.txt,2,4,1,sparse,1,approx,0.002327,0,success
g2_h4_k1_dsparse_s2.txt,2,4,1,sparse,2,exact,0.002536,1,success
g2_h4_k1_dsparse_s2.txt,2,4,1,sparse,2,approx,0.002451,3,success
g2_h5_k1_ddense_s0.txt,2,5,1,dense,0,exact,0.002792,0,success
g2_h5_k1_ddense_s0.txt,2,5,1,dense,0,approx,0.002550,0,success
g2_h5_k1_ddense_s1.txt,2,5,1,dense,1,exact,0.002524,2,success
g2_h5_k1_ddense_s1.txt,2,5,1,dense,1,approx,0.002293,2,success
g2_h5_k1_ddense_s2.txt,2,5,1,dense,2,exact,0.002574,0,success
g2_h5_k1_ddense_s2.txt,2,5,1,dense,2,approx,0.002238,2,success
g2_h5_k1_dmedium_s0.txt,2,5,1,medium,0,exact,0.002542,0,success
g2_h5_k1_dmedium_s0.txt,2,5,1,medium,0,approx,0.002486,0,success
g2_h5_k1_dmedium_s1.txt,2,5,1,medium,1,exact,0.002429,2,success
g2_h5_k1_dmedium_s1.txt,2,5,1,medium,1,approx,0.002352,2,success
